meal_description,carb,protein,fat,energy
region pt 100g Ameixa encarnada,7.4,0.8,0.2,41
region pt 100g Ameixa rainha Claudia,11.8,0.8,0.1,57
region pt 100g Ameixa seca,37.8,2.9,0.3,198
region pt 100g Ameixa conserva em calda de acucar,27.5,0.2,0.2,115
region pt 100g Amendoa miolo com pele,7.2,21.6,56.0,643
region pt 100g Amendoa miolo torrada sem pele,7.1,21.6,56.8,650
region pt 100g Amendoim miolo,10.1,25.4,47.7,589
region pt 100g Amendoim miolo torrado com sal,6.6,26.2,51.8,614
region pt 100g Amendoim miolo torrado sem sal,9.5,25.6,49.6,605
region pt 100g Amora,4.5,1.4,0.9,43
region pt 100g Ananas ,9.5,0.5,0.2,47
region pt 100g Ananas desidratado,72.8,3.8,1.5,363
region pt 100g Ananas conserva em calda de acucar,23.2,0.2,0.1,98
region pt 100g Anchova conserva em oleo escorrido,0.0,25.2,10.0,191
region pt 100g Anona,16.8,1.7,0.4,82
region pt 100g Anona desidratada,71.6,7.2,1.7,351
region pt 100g Arroz a valenciana,7.7,7.6,5.3,111
region pt 100g Arroz agulha cru,78.1,6.7,0.4,347
region pt 100g Arroz carolino branqueado cru,79.6,7.4,0.5,357
region pt 100g Arroz cozido simples,28.0,2.5,0.2,125
region pt 100g Arroz de bacalhau,15.3,3.1,1.6,90
region pt 100g Arroz de bacalhau com margarina,12.2,5.4,2.1,91
region pt 100g Arroz de cabidela,12.2,9.4,1.9,105
region pt 100g Arroz de cenoura com azeite,19.9,1.8,4.2,127
region pt 100g Arroz de ervilhas,18.0,2.3,0.2,85
region pt 100g Arroz de feijao,20.8,3.1,4.4,139
region pt 100g Arroz de frango,25.2,8.4,7.6,205
region pt 100g Arroz de frango com feijao e chourico,8.8,10.9,3.4,116
region pt 100g Arroz de frango malandrinho a moda de Moncao,9.3,10.5,5.8,132
region pt 100g Arroz de gambas,8.8,6.9,3.4,94
region pt 100g Arroz de lulas,6.7,4.8,2.1,66
region pt 100g Arroz de manteiga,44.4,3.8,7.7,265
region pt 100g Arroz de marisco,8.2,6.5,1.4,72
region pt 100g Arroz de pato,8.4,10.8,4.2,115
region pt 100g Arroz de peixe,15.5,7.0,3.7,125
region pt 100g Arroz de peixe com ervilhas,19.8,4.9,0.8,110
region pt 100g Arroz de polvo com azeite,10.9,10.2,4.6,127
region pt 100g Arroz de polvo com tomate ,10.0,5.7,7.1,128
region pt 100g Arroz de polvo com tomate e vinho,6.9,6.5,3.6,90
region pt 100g Arroz de tamboril,7.1,5.7,3.8,87
region pt 100g Arroz de tamboril malandrinho,10.0,5.9,0.2,67
region pt 100g Arroz de tomate com azeite,20.1,2.0,4.2,129
region pt 100g Arroz de tomate com margarina,20.2,2.0,3.4,122
region pt 100g Arroz de tomate malandrinho,16.8,1.9,6.0,132
region pt 100g Arroz doce,45.2,4.4,3.8,233
region pt 100g Arroz integral cru,71.6,8.6,2.5,351
region pt 100g Atum conserva em oleo,0.0,24.3,13.0,214
region pt 100g Atum de cebolada,2.6,9.0,9.0,135
region pt 100g Atum fresco cru,0.0,24.1,4.9,141
region pt 100g Atum fresco grelhado,0.0,28.4,5.8,166
region pt 100g Avela miolo,6.0,14.0,66.3,689
region pt 100g Azeite ,0.0,0.0,99.9,899
region pt 100g Azeitona,0.0,1.4,18.5,180
region pt 100g Bacalhau a Bras,8.3,9.5,10.1,164
region pt 100g Bacalhau a Bras com azeite,6.5,8.7,14.7,195
region pt 100g Bacalhau a Bras com azeite e azeitonas,6.5,8.0,3.6,93
region pt 100g Bacalhau a Gomes de Sa,13.1,6.7,6.3,139
region pt 100g Bacalhau a Gomes de Sa com azeite,7.4,8.6,10.4,160
region pt 100g Bacalhau assado no forno com azeite,0.8,20.8,4.9,136
region pt 100g Bacalhau com natas,9.2,9.0,2.6,98
region pt 100g Bacalhau com natas com queijo ralado,7.6,5.3,12.6,167
region pt 100g Bacalhau cozido,0.0,26.2,0.1,106
region pt 100g Bacalhau fresco cozido,0.0,19.1,0.8,84
region pt 100g Bacalhau fresco cru,0.0,17.8,0.5,76
region pt 100g Bacalhau grelhado,0.0,30.2,0.2,123
region pt 100g Bacalhau seco e salgado demolhado cru,0.0,19.0,0.4,80
region pt 100g Baco de porco,0.4,17.8,3.8,107
region pt 100g Bacon,0.0,13.8,34.6,367
region pt 100g Bacon grelhado sem adicao de sal,0.0,22.2,31.5,372
region pt 100g Bagas goji secas,51.8,11.2,2.8,303
region pt 100g Banana,21.8,1.6,0.4,104
region pt 100g Banha de porco,0.0,0.0,99.5,896
region pt 100g Base em po para bebida de ananas,89.5,0.0,0.0,369
region pt 100g Base em po para bebida de laranja,88.9,0.0,0.0,375
region pt 100g Batata assada com pele sem sal ,19.2,2.5,0.0,90
region pt 100g Batata assada no forno,24.8,3.2,4.8,159
region pt 100g Batata cozida,18.5,2.4,0.0,87
region pt 100g Batata crua,19.2,2.5,0.0,90
region pt 100g Batata doce assada,28.3,1.0,0.0,123
region pt 100g Batata doce crua,28.3,1.0,0.0,123
region pt 100g Batata estufada com cebola azeite e oleo alimentar,14.5,2.0,3.1,97
region pt 100g Batata frita caseira ,27.6,3.7,10.8,227
region pt 100g Batata frita de pacote ,39.0,5.7,38.1,543
region pt 100g Batata fecula,85.0,0.5,0.3,345
region pt 100g Bebida a base de soja com acucar com calcio sal e aromas,4.2,3.6,2.1,53
region pt 100g Bebida a base de soja com acucar sal e aromas,6.4,3.8,2.2,61
region pt 100g Bebida a base de soja natural sem acucar e sem sal,0.4,3.7,2.2,37
region pt 100g Bebida refrigerante cola,9.0,0.0,0.0,36
region pt 100g Bebida refrigerante cola sem acucar,0.0,0.0,0.0,0
region pt 100g Bebida refrigerante gasosa,7.0,0.0,0.0,28
region pt 100g Bebida refrigerante laranja,10.5,0.0,0.0,42
region pt 100g Beldroega crua,1.0,1.0,0.0,13
region pt 100g Berbigao aberto ao natural sem sal,5.4,21.0,1.4,118
region pt 100g Berbigao cru,2.7,10.5,0.7,59
region pt 100g Beringela crua,2.4,1.1,0.2,21
region pt 100g Beringela grelhada com azeite,4.3,2.0,7.1,99
region pt 100g Besugo cru,0.0,19.5,2.7,102
region pt 100g Beterraba  cozida sem sal,3.4,1.0,0.0,23
region pt 100g Beterraba  crua,3.5,1.0,0.0,23
region pt 100g Bife de atum fresco estufado com azeite e vinho,0.2,23.1,10.1,196
region pt 100g Bife de cavalo alcatra crua,0.0,21.1,3.5,116
region pt 100g Bife de cavalo alcatra frita com manteiga,0.0,23.3,9.3,177
region pt 100g Bife de cavalo alcatra frita com margarina,0.0,23.3,9.2,176
region pt 100g Bife de cavalo alcatra frita sem molho,0.0,24.7,5.4,147
region pt 100g Bife de espadarte estufado com azeite e vinho,0.4,17.1,8.1,152
region pt 100g Bife de porco grelhado,0.7,16.7,14.2,203
region pt 100g Bife de vaca  cru,0.0,20.9,4.3,122
region pt 100g Bife de vaca  frito com manteiga,0.1,24.2,11.5,201
region pt 100g Bife de vaca  frito sem molho,0.0,28.8,7.5,183
region pt 100g Bife de vaca  grelhado,0.0,26.4,6.4,163
region pt 100g Bife de vaca a cafe,1.6,16.9,16.5,226
region pt 100g Bife de vaca a Marrare com manteiga,0.9,16.0,33.3,368
region pt 100g Bife de vaca a Marrare com margarina,0.8,16.0,32.8,363
region pt 100g Bife de vaca com ovo a cavalo com banha,0.5,23.5,14.5,227
region pt 100g Bife de vaca com ovo a cavalo com manteiga,0.6,23.9,11.1,199
region pt 100g Bife de vitela cru,0.2,19.9,7.6,149
region pt 100g Bife de vitela frito,0.4,19.0,16.4,229
region pt 100g Biscoitos caseiros,73.4,6.7,11.0,423
region pt 100g Biscoitos limao,77.9,6.7,4.4,382
region pt 100g Biscoitos argolas,69.7,5.4,16.5,451
region pt 100g Biscoitos linguas de gato,84.1,5.2,1.8,377
region pt 100g Biscoitos linguas de veado,65.1,5.8,20.7,474
region pt 100g Biscoitos palitos la Reine,66.6,11.5,7.2,381
region pt 100g Bola de Berlim sem creme,43.7,6.8,21.5,402
region pt 100g Bolacha Belga,70.1,7.1,19.6,487
region pt 100g Bolacha Cream cracker,61.6,10.8,16.2,442
region pt 100g Bolacha waffer baunilha,55.3,3.2,36.4,564
region pt 100g Bolacha agua e sal,61.0,9.8,17.8,450
region pt 100g Bolacha aveia,57.5,10.0,18.3,443
region pt 100g Bolacha chocolate,65.4,5.7,19.8,469
region pt 100g Bolacha integral ,65.6,8.8,15.6,450
region pt 100g Bolacha manteiga,65.2,6.2,21.3,483
region pt 100g Bolacha Maria,72.0,8.4,12.2,436
region pt 100g Bolacha torrada,68.5,7.3,14.4,437
region pt 100g Bolo de arroz,62.7,4.4,14.8,404
region pt 100g Bolo de bolacha Maria,46.3,3.9,20.7,389
region pt 100g Bolo de chocolate,47.0,7.4,26.4,463
region pt 100g Bolo de coco,37.8,4.2,31.0,454
region pt 100g Bolo ferradura,71.6,5.9,4.1,351
region pt 100g Bolo ingles,57.0,5.1,13.9,380
region pt 100g Bolo-Rei,57.4,7.9,14.9,407
region pt 100g Brandy,0.0,0.0,0.0,246
region pt 100g Brocolos cozidos,1.3,2.8,0.7,27
region pt 100g Brocolos crus,1.5,3.4,0.8,32
region pt 100g Bulgur,65.6,12.1,1.9,344
region pt 100g Buzio cru,2.3,17.8,0.2,82
region pt 100g Cabeca de porco,0.3,14.3,32.9,355
region pt 100g Cacao cru,0.0,20.0,0.2,82
region pt 100g Cacao frito,2.7,24.0,7.0,170
region pt 100g Cacau em po,11.1,19.6,23.4,358
region pt 100g Cachaco de vaca cru,0.3,21.3,5.6,137
region pt 100g Cachucho cru,0.0,18.3,0.7,80
region pt 100g Cafe soluvel em po com cafeina,41.1,14.9,0.5,272
region pt 100g Cafe soluvel em po descafeinado,42.6,14.7,0.2,274
region pt 100g Cafe infusao - bica ,0.3,0.4,0.1,4
region pt 100g Cafe infusao - cafe de cafeteira ,0.3,0.2,0.0,2
region pt 100g Cafe infusao - carioca ,0.3,0.2,0.0,2
region pt 100g Cafe infusao - valor medio ,0.3,0.3,0.1,3
region pt 100g Caldeirada de bacalhau,7.1,4.2,2.1,67
region pt 100g Caldeirada de bacalhau com enchidos e massa,9.7,7.0,8.5,146
region pt 100g Caldeirada de cabrito com azeite e banha,8.3,11.3,4.3,119
region pt 100g Caldeirada de cabrito com azeite e margarina,8.3,11.3,4.0,116
region pt 100g Caldeirada de enguias,8.2,6.6,11.9,171
region pt 100g Caldeirada de enguias a moda de Aveiro,5.3,7.4,21.4,245
region pt 100g Caldeirada de pargo e peixe-espada-preto,4.4,7.2,9.8,138
region pt 100g Caldeirada de peixe,4.4,7.5,3.5,84
region pt 100g Caldeirada de safio com ameijoas,5.8,6.9,2.7,80
region pt 100g Caldeirada de safio com batatas,7.2,4.5,3.1,81
region pt 100g Caldeirada de safio raia e tamboril,9.8,7.0,2.9,98
region pt 100g Caldo preparado com cubo de carne de galinha ,0.2,0.3,0.3,5
region pt 100g Caldo preparado com cubo de carne de vaca ,0.2,0.4,0.2,4
region pt 100g Camarao cozido,0.4,22.6,0.8,99
region pt 100g Camarao cozido sem sal,0.3,20.2,1.1,92
region pt 100g Camarao cru,0.3,17.6,0.6,77
region pt 100g Canela moida,55.5,3.9,3.2,315
region pt 100g Canja de frango com aipo,2.3,7.8,1.7,56
region pt 100g Canja de frango com massa,2.1,10.8,1.0,61
region pt 100g Canonigos crus,2.0,2.0,0.4,24
region pt 100g Cantarilho  assado com cebola tomate azeite e bacon,1.2,13.6,8.6,142
region pt 100g Cantarilho  com batata no forno,5.7,8.7,4.9,108
region pt 100g Cantarilho  cozido,0.0,19.3,2.4,99
region pt 100g Cantarilho  cru,0.0,18.6,2.9,101
region pt 100g Cantarilho  no forno,1.1,17.3,2.7,114
region pt 100g Caracol cru,2.0,16.1,1.4,85
region pt 100g Carambola,7.1,0.5,0.3,40
region pt 100g Carapau cru,0.0,19.7,2.9,105
region pt 100g Carapau frito,1.0,24.0,9.6,186
region pt 100g Carapau grelhado,0.0,26.3,3.7,139
region pt 100g Cardamomo verde,49.5,10.8,6.2,335
region pt 100g Caril em po,25.2,12.7,13.8,342
region pt 100g Carne a bolonhesa,15.6,11.5,14.0,238
region pt 100g Carne a jardineira,5.6,9.7,8.1,140
region pt 100g Carne de porco a alentejana,1.8,14.6,16.9,229
region pt 100g Carne de porco a alentejana sem massa de pimentao,2.2,16.0,11.8,183
region pt 100g Caseina,0.0,86.2,1.5,358
region pt 100g Castanha assada com sal,45.5,3.5,1.3,222
region pt 100g Castanha cozida sem sal,35.9,2.8,1.0,175
region pt 100g Castanha de caju torrada  e salgada,19.4,19.6,50.0,613
region pt 100g Castanha de caju torrada sem sal,19.4,19.6,50.0,613
region pt 100g Castanha do Brasil,2.6,9.6,66.7,690
region pt 100g Castanha pilada,70.0,5.1,2.0,341
region pt 100g Castanha miolo,39.8,3.1,1.1,194
region pt 100g Cavala cozida,0.0,20.5,12.2,192
region pt 100g Cavala crua,0.0,20.3,13.4,202
region pt 100g Cavala em filetes conserva em azeite,0.0,24.0,9.6,182
region pt 100g Cavala grelhada,0.6,18.5,12.2,192
region pt 100g Cavala no forno,2.3,12.9,14.3,192
region pt 100g Cebola cozida,2.4,1.0,0.2,18
region pt 100g Cebola crua,3.1,0.9,0.2,20
region pt 100g Cebola doce crua,4.9,0.8,0.0,25
region pt 100g Cebola frita com oleo alimentar,6.2,1.9,11.2,138
region pt 100g Cebola roxa crua,8.6,0.7,0.0,43
region pt 100g Cebolinho fresco,1.7,2.8,0.6,28
region pt 100g Cenoura baby crua,4.9,0.6,0.1,29
region pt 100g Cenoura cozida,3.6,0.7,0.0,23
region pt 100g Cenoura crua,4.4,0.6,0.0,25
region pt 100g Cereal de pequeno almoco a base de farelo de trigo ,39.8,15.1,3.4,310
region pt 100g Cereal de pequeno almoco de trigo integral tipo Weetabix,71.5,10.7,2.0,364
region pt 100g Cerefolio fresco,12.0,4.0,1.0,80
region pt 100g Cereja ,13.3,0.8,0.7,67
region pt 100g Cereja desidratada,72.6,4.4,3.8,366
region pt 100g Cereja conserva em calda de acucar,28.7,0.4,0.2,120
region pt 100g Cereja cristalizada,79.9,0.4,0.2,326
region pt 100g Cerveja branca,0.5,0.4,0.0,30
region pt 100g Cerveja preta,0.6,0.5,0.0,23
region pt 100g Cerveja sem alcool,1.5,0.3,0.0,7
region pt 100g Cha infusao preto,0.0,0.1,0.0,0
region pt 100g Cha infusao verde,0.0,0.1,0.0,0
region pt 100g Chambao de vitela cru,0.2,20.3,12.6,195
region pt 100g Chamuca,39.3,9.1,16.3,344
region pt 100g Cherne cozido,0.0,18.9,5.4,124
region pt 100g Cherne cru,0.0,17.9,6.7,132
region pt 100g Cherne grelhado,0.0,24.1,6.3,153
region pt 100g Chicharro cozido,0.0,21.1,3.0,111
region pt 100g Chicharro cru,0.0,19.7,2.9,105
region pt 100g Chicharro grelhado,0.0,26.3,3.7,139
region pt 100g Chicoria crua,0.9,1.0,0.1,14
region pt 100g Chispe de porco,0.2,16.1,33.8,369
region pt 100g Choco cru,0.0,18.9,0.4,79
region pt 100g Choco grelhado,0.0,25.8,0.6,109
region pt 100g Chocolate de leite,53.1,8.0,33.9,552
region pt 100g Chocolate em barra culinaria,44.0,5.4,30.5,502
region pt 100g Chocolate em po,63.8,4.2,20.3,469
region pt 100g Chocolate negro ,52.6,5.2,31.7,530
region pt 100g Chourico de carne de porco cru,0.0,20.0,44.1,476
region pt 100g Chourico de carne de porco gordo cru,0.0,15.4,53.6,544
region pt 100g Chourico de carne de porco magro cozido sem adicao de sal,0.0,24.8,26.1,334
region pt 100g Chourico de carne de porco magro cru,0.0,24.5,34.5,409
region pt 100g Chourico de carne de porco magro grelhado sem adicao de sal,0.0,31.6,24.1,343
region pt 100g Chourico de sangue cozido sem adicao de sal,0.0,11.2,24.2,263
region pt 100g Chourico de sangue cru,0.0,11.0,31.6,328
region pt 100g Chuchu,2.9,0.8,0.1,19
region pt 100g Chucrute,1.1,1.3,0.3,15
region pt 100g Clara de ovo de galinha crua,0.0,11.0,0.3,47
region pt 100g Clara de ovo de galinha pasteurizada,1.0,10.5,0.0,46
region pt 100g Clementina,11.1,0.8,0.2,53
region pt 100g Coco seco ralado,6.4,5.6,62.0,648
region pt 100g Codorniz carne sem pele crua ,0.0,22.1,3.4,119
region pt 100g Codorniz com pele crua,0.0,21.5,9.3,170
region pt 100g Codorniz com pele estufada com azeite,0.7,25.6,13.4,234
region pt 100g Codorniz com pele grelhada,0.0,24.5,11.6,202
region pt 100g Coelho a cacador,1.6,12.3,12.7,182
region pt 100g Coelho cru,0.0,20.3,4.0,117
region pt 100g Coelho em vinha de alhos,1.4,11.3,11.6,174
region pt 100g Coelho estufado,0.9,26.6,10.2,211
region pt 100g Coelho estufado com azeite,0.9,26.6,11.0,218
region pt 100g Coelho estufado com margarina,0.9,26.6,9.5,205
region pt 100g Coentros crus,1.8,2.4,0.6,28
region pt 100g Cogumelos crus,0.5,1.8,0.5,18
region pt 100g Cogumelos enlatados escorridos,0.0,2.1,0.4,17
region pt 100g Cogumelos fritos com oleo alimentar,0.3,2.4,16.2,163
region pt 100g Colorau,35.0,14.8,13.0,358
region pt 100g Cominhos,34.0,18.0,22.0,427
region pt 100g Compota de ameixa,49.2,0.3,0.0,200
region pt 100g Compota de ananas,50.8,0.5,0.1,211
region pt 100g Compota de cereja,61.9,0.4,0.0,251
region pt 100g Compota de damasco,58.9,0.4,0.0,239
region pt 100g Compota de laranja,59.5,0.4,0.0,242
region pt 100g Condimento de mostarda,18.5,5.7,6.4,158
region pt 100g Coracao de galinha cru,0.7,15.6,9.3,149
region pt 100g Coracao de porco cru,0.0,18.4,4.4,113
region pt 100g Coracao de porco estufado com banha e margarina,1.0,20.9,10.5,193
region pt 100g Coracao de vaca cozido,0.0,23.4,3.3,123
region pt 100g Coracao de vaca cru,0.0,17.0,2.7,92
region pt 100g Coracao de vaca estufado com banha e margarina,0.9,17.7,7.8,154
region pt 100g Coracao de vitela cru,0.0,16.8,3.6,100
region pt 100g Corvina cozida,0.0,20.7,1.4,95
region pt 100g Corvina crua,0.0,20.4,1.4,94
region pt 100g Costeleta de cabrito crua,0.0,23.9,2.7,120
region pt 100g Costeleta de cabrito grelhada,0.0,30.9,3.0,151
region pt 100g Costeleta de carneiro crua,0.0,20.8,7.5,151
region pt 100g Costeleta de porco gorda crua,0.0,17.3,31.8,355
region pt 100g Costeleta de porco gorda grelhada,0.0,24.3,23.1,305
region pt 100g Costeleta de porco grelhada,0.8,18.1,14.4,212
region pt 100g Costeleta de porco meio gorda crua,0.0,19.8,15.8,221
region pt 100g Costeleta de porco meio gorda estufada,0.7,21.1,20.5,277
region pt 100g Costeleta de porco meio gorda estufada com azeite e banha,0.7,21.1,20.7,280
region pt 100g Costeleta de porco meio gorda estufada com azeite e margarina,0.7,21.1,20.4,277
region pt 100g Costeleta de porco meio gorda estufada com margarina,0.7,21.1,19.9,272
region pt 100g Costeleta de porco meio gorda estufada com oleo alimentar e banha,0.7,21.1,20.7,280
region pt 100g Costeleta de porco meio gorda estufada sem molho,0.0,26.9,19.6,284
region pt 100g Costeleta de porco meio gorda frita panada,8.6,22.1,24.1,341
region pt 100g Costeleta de porco meio gorda grelhada,0.0,27.0,17.0,261
region pt 100g Costeleta de vitela crua,0.0,20.0,4.5,121
region pt 100g Costeleta de vitela frita com margarina,0.0,23.4,9.9,183
region pt 100g Costeleta de vitela frita panada,3.4,19.7,5.3,148
region pt 100g Costeleta de vitela frita sem molho,0.0,24.3,6.9,159
region pt 100g Costeleta de vitela grelhada,0.0,25.2,3.3,131
region pt 100g Costeleta ou perna de borrego assada com azeite e margarina,0.0,23.3,15.6,234
region pt 100g Costeleta ou perna de borrego assada com margarina,0.0,23.3,14.5,224
region pt 100g Costeleta ou perna de borrego frita com margarina sem molho,0.0,24.5,7.6,166
region pt 100g Costeleta ou perna de borrego assada sem molho,0.0,24.1,8.0,168
region pt 100g Costeleta ou perna de borrego cozida ,0.0,26.5,5.7,157
region pt 100g Costeleta ou perna de borrego crua ,0.0,19.7,5.0,124
region pt 100g Costeleta ou perna de borrego estufada com azeite e margarina,1.6,16.2,12.0,183
region pt 100g Costeleta ou perna de borrego estufada com margarina,1.6,16.2,11.1,175
region pt 100g Costeleta ou perna de borrego estufada sem molho,0.0,25.5,9.2,185
region pt 100g Costeleta ou perna de borrego grelhada,0.0,25.7,5.5,152
region pt 100g Costeleta ou perna de carneiro magra frita com margarina sem molho,0.0,24.7,8.4,174
region pt 100g Couve-branca cozida,2.2,1.7,0.4,23
region pt 100g Couve-branca crua,3.5,1.4,0.4,28
region pt 100g Couve-de-Bruxelas cozida,3.5,2.9,1.3,43
region pt 100g Couve-de-Bruxelas crua,4.0,3.5,1.4,50
region pt 100g Couve-flor cozida,2.3,1.6,0.2,21
region pt 100g Couve-flor crua,3.3,3.7,0.2,34
region pt 100g Couve-galega cozida,2.9,2.1,0.4,29
region pt 100g Couve-galega crua,3.1,2.4,0.4,32
region pt 100g Couve-lombarda cozida,1.4,2.2,0.2,22
region pt 100g Couve-lombarda crua,2.1,2.4,0.2,26
region pt 100g Couve-portuguesa cozida,2.5,2.1,0.4,27
region pt 100g Couve-portuguesa crua,3.5,2.2,0.4,31
region pt 100g Couve-roxa crua,3.9,2.0,0.0,30
region pt 100g Cozido a portuguesa,6.2,6.8,7.0,120
region pt 100g Cozido a portuguesa com grao,20.5,11.7,13.5,259
region pt 100g Cravinho,52.0,6.0,20.0,431
region pt 100g Creme culinario,0.0,0.0,59.0,531
region pt 100g Creme culinario liquido 65% gordura com sal,0.0,0.0,65.3,588
region pt 100g Creme de camarao,1.7,3.6,1.4,39
region pt 100g Creme de camarao com natas,1.9,3.5,2.9,51
region pt 100g Creme de ervilhas,3.0,2.6,1.9,43
region pt 100g Creme para barrar de cacau e avelas ,54.7,5.9,33.3,545
region pt 100g Creme vegetal culinario 75% gordura sem sal,0.4,0.1,75.0,677
region pt 100g Creme vegetal para barrar  72% gordura 33% acidos gordos polinsaturados,0.4,0.1,72.1,651
region pt 100g Creme vegetal para barrar 35% gordura com fitosterois,3.2,0.1,35.0,328
region pt 100g Creme vegetal para barrar 37% gordura,0.2,1.4,37.4,343
region pt 100g Creme vegetal para barrar 58% gordura com calcio,0.5,0.3,58.0,525
region pt 100g Creme vegetal para barrar 70% gordura 53% acidos gordos monoinsaturados,0.5,0.1,70.0,632
region pt 100g Creme vegetal para barrar 70% gordura com sal,0.3,0.1,70.0,632
region pt 100g Croissant,42.2,7.6,23.5,416
region pt 100g Croquete,23.1,13.2,18.8,316
region pt 100g Croquete de carne de vaca meio-gorda,19.1,15.1,11.9,257
region pt 100g Cubo de carne de galinha para caldo,9.0,15.4,15.4,236
region pt 100g Cubo de carne de vaca para caldo,8.0,19.8,8.0,183
region pt 100g Curgete crua,2.0,1.6,0.3,19
region pt 100g Curgete frita com oleo alimentar,2.5,2.0,4.8,64
region pt 100g Damasco,8.5,0.8,0.1,48
region pt 100g Damasco seco,41.2,5.4,0.9,242
region pt 100g Damasco conserva em calda de acucar,39.3,0.5,0.1,163
region pt 100g Diospiro,14.8,0.6,0.0,65
region pt 100g Diospiro desidratado,80.8,3.3,0.0,353
region pt 100g Doce de cereja,64.9,0.2,0.0,262
region pt 100g Doce de damasco,57.4,0.5,0.0,233
region pt 100g Doce de framboesa,59.7,0.4,0.0,242
region pt 100g Doce de ginja,64.8,0.4,0.0,263
region pt 100g Doce de maca,59.0,0.2,0.0,239
region pt 100g Doce de morango,60.5,0.2,0.0,245
region pt 100g Doce de pessego,51.3,0.4,0.0,209
region pt 100g Donut,43.0,6.6,21.7,400
region pt 100g Donut recheado com doce de fruta,47.0,6.0,14.5,348
region pt 100g Dourada cozida,0.0,20.8,12.5,196
region pt 100g Dourada crua,0.0,19.7,9.8,167
region pt 100g Dourada grelhada,0.0,22.3,9.9,178
region pt 100g Eclair de chocolate,36.5,4.1,23.8,378
region pt 100g Empada,33.9,9.6,21.9,374
region pt 100g Empadao de atum,10.7,12.9,15.2,234
region pt 100g Empadao de bacalhau,10.9,6.9,5.0,118
region pt 100g Empadao de carne com manteiga,10.7,6.6,6.3,134
region pt 100g Empadao de carne com margarina,10.7,6.6,6.3,134
region pt 100g Empadao de carne guisada,10.9,9.4,9.3,167
region pt 100g Empadao de pescada e camarao,11.0,8.7,4.5,122
region pt 100g Endivia crua,1.2,1.8,0.4,19
region pt 100g Enguia crua,0.0,13.4,27.7,303
region pt 100g Enguia frita,3.2,14.8,21.6,267
region pt 100g Entrecosto de porco cozido,0.0,26.9,14.2,235
region pt 100g Entrecosto de porco cru,0.0,19.6,12.4,190
region pt 100g Entrecosto de porco estufado com azeite e banha,0.7,20.9,17.1,246
region pt 100g Entrecosto de porco estufado com azeite e margarina,0.7,20.9,16.8,244
region pt 100g Entrecosto de porco estufado com margarina,0.7,20.9,16.3,239
region pt 100g Entrecosto de porco estufado com oleo alimentar e banha,0.7,20.9,17.1,246
region pt 100g Entrecosto de porco estufado sem molho,0.0,26.6,15.4,245
region pt 100g Entrecosto de porco grelhado,0.0,26.8,15.1,243
region pt 100g Ervilhas estufadas,9.6,5.1,5.1,113
